ID	allele_type
EC00652	accessory
EC00653	accessory
EC00654	accessory
EC00655	accessory
EC00656	accessory
EC00657	accessory
EC00658	accessory
EC00659	accessory
EC00660	accessory
EC00661	accessory
EC00662	accessory
EC00663	accessory
EC00664	accessory
EC00665	accessory
EC00666	accessory
EC00668	accessory
EC00669	accessory
EC00670	accessory
EC00671	accessory
EC00672	accessory
EC00673	accessory
EC00674	accessory
EC00675	accessory
EC00677	accessory
EC00687	accessory
EC00688	accessory
EC00689	accessory
EC00690	accessory
EC00691	accessory
EC00695	accessory
EC00696	accessory
EC00697	accessory
EC00699	accessory
EC00700	accessory
EC00701	accessory
EC00702	accessory
EC00703	accessory
EC00704	accessory
EC00705	accessory
EC00706	accessory
EC00707	accessory
EC00708	accessory
EC00709	accessory
EC00710	accessory
EC00711	accessory
EC00712	accessory
EC00713	accessory
EC00714	accessory
EC00715	accessory
EC00716	accessory
EC00717	accessory
EC00718	accessory
EC00719	accessory
EC00720	accessory
EC00721	accessory
EC00722	accessory
EC00724	accessory
EC00725	accessory
EC00726	accessory
EC00727	accessory
EC00728	accessory
EC00729	accessory
EC00730	accessory
EC00731	accessory
EC00732	accessory
EC00733	accessory
EC00734	accessory
EC00735	accessory
EC00736	accessory
EC00737	accessory
EC00738	accessory
EC00739	accessory
EC00740	accessory
EC00741	accessory
EC00742	accessory
EC00743	accessory
EC00744	accessory
EC00745	accessory
EC00746	accessory
EC00747	accessory
EC00748	accessory
EC00749	accessory
EC00750	accessory
EC00751	accessory
EC00752	accessory
EC00753	accessory
EC00754	accessory
EC00755	accessory
EC00756	accessory
EC00757	accessory
EC00758	accessory
EC00759	accessory
EC00760	accessory
EC00761	accessory
EC00762	accessory
EC00763	accessory
EC00764	accessory
EC00765	accessory
EC00766	accessory
EC00767	accessory
EC00768	accessory
EC00769	accessory
EC00770	accessory
EC00771	accessory
EC00772	accessory
EC00773	accessory
EC00774	accessory
EC00775	accessory
EC00776	accessory
EC00777	accessory
EC00778	accessory
EC00779	accessory
EC00780	accessory
EC00781	accessory
EC00782	accessory
EC00783	accessory
EC00784	accessory
EC00785	accessory
EC00786	accessory
EC00787	accessory
EC00788	accessory
EC00789	accessory
EC00790	accessory
EC00791	accessory
EC00792	accessory
EC00793	accessory
EC00794	accessory
EC00795	accessory
EC00796	accessory
EC00797	accessory
EC00798	accessory
EC00799	accessory
EC00800	accessory
EC00801	accessory
EC00802	accessory
EC00803	accessory
EC00804	accessory
EC00805	accessory
EC00806	accessory
EC00807	accessory
EC00808	accessory
EC00809	accessory
EC00810	accessory
EC00811	accessory
EC00812	accessory
EC00813	accessory
EC00814	accessory
EC00815	accessory
EC00816	accessory
EC00817	accessory
EC00818	accessory
EC00819	accessory
EC00820	accessory
EC00821	accessory
EC00822	accessory
EC00823	accessory
EC00824	accessory
EC00826	accessory
EC00827	accessory
EC00828	accessory
EC00829	accessory
EC00830	accessory
EC00831	accessory
EC00832	accessory
EC00833	accessory
EC00834	accessory
EC00835	accessory
EC00836	accessory
EC00837	accessory
EC00838	accessory
EC00839	accessory
EC00840	accessory
EC00841	accessory
EC00842	accessory
EC00843	accessory
EC00844	accessory
EC00845	accessory
EC00846	accessory
EC00847	accessory
EC00848	accessory
EC00849	accessory
EC00850	accessory
EC00851	accessory
EC00852	accessory
EC00853	accessory
EC00854	accessory
EC00855	accessory
EC00856	accessory
EC00857	accessory
EC00858	accessory
EC00859	accessory
EC00860	accessory
EC00861	accessory
EC00862	accessory
EC00863	accessory
EC00864	accessory
EC00865	accessory
EC00866	accessory
EC00867	accessory
EC00868	accessory
EC00869	accessory
EC00870	accessory
EC00871	accessory
EC00872	accessory
EC00873	accessory
EC00874	accessory
EC00875	accessory
EC00876	accessory
EC00877	accessory
EC00878	accessory
EC00879	accessory
EC00880	accessory
EC00881	accessory
EC00882	accessory
EC00883	accessory
EC00884	accessory
EC00885	accessory
EC00886	accessory
EC00887	accessory
EC00888	accessory
EC00889	accessory
EC00890	accessory
EC00891	accessory
EC00892	accessory
EC00893	accessory
EC00894	accessory
EC00895	accessory
EC00896	accessory
EC00897	accessory
EC00898	accessory
EC00899	accessory
EC00900	accessory
EC00901	accessory
EC00902	accessory
EC00903	accessory
EC00904	accessory
EC00905	accessory
EC00906	accessory
EC00907	accessory
EC00908	accessory
EC00909	accessory
EC00910	accessory
EC00911	accessory
EC00912	accessory
EC00913	accessory
EC00914	accessory
EC00915	accessory
EC00917	accessory
EC00918	accessory
EC00919	accessory
EC00920	accessory
EC00921	accessory
EC00922	accessory
EC00923	accessory
EC00924	accessory
EC00925	accessory
EC00926	accessory
EC00927	accessory
EC00928	accessory
EC00929	accessory
EC00930	accessory
EC00931	accessory
EC00932	accessory
EC00933	accessory
EC00934	accessory
EC00935	accessory
EC00936	accessory
EC00937	accessory
EC00938	accessory
EC00939	accessory
EC00940	accessory
