ID	allele_type
CBOT_5622	accessory
CBOT_618	accessory
CBOT_1989	accessory
CBOT_5966	accessory
CBOT_1990	accessory
CBOT_3834	accessory
CBOT_5561	accessory
CBOT_2574	accessory
CBOT_766	accessory
CBOT_6085	accessory
CBOT_2952	accessory
CBOT_2941	accessory
CBOT_3872	accessory
CBOT_1184	accessory
CBOT_10568	accessory
CBOT_6097	accessory
CBOT_10332	accessory
CBOT_6094	accessory
CBOT_2282	accessory
CBOT_6101	accessory
CBOT_2021	accessory
CBOT_554	accessory
CBOT_555	accessory
CBOT_2341	accessory
CBOT_2491	accessory
CBOT_5562	accessory
CBOT_2575	accessory
CBOT_8202	accessory
CBOT_1166	accessory
CBOT_3883	accessory
CBOT_3819	accessory
CBOT_1376	accessory
CBOT_3320	accessory
CBOT_1267	accessory
CBOT_4839	accessory
CBOT_1056	accessory
CBOT_2424	accessory
CBOT_1359	accessory
CBOT_6636	accessory
CBOT_1988	accessory
CBOT_1360	accessory
CBOT_2478	accessory
CBOT_2766	accessory
CBOT_541	accessory
CBOT_92	accessory
CBOT_10420	accessory
CBOT_7106	accessory
CBOT_5740	accessory
CBOT_1867	accessory
CBOT_1868	accessory
CBOT_4112	accessory
CBOT_2385	accessory
CBOT_5075	accessory
CBOT_1343	accessory
CBOT_1961	accessory
CBOT_4048	accessory
CBOT_2421	accessory
CBOT_6111	accessory
CBOT_1962	accessory
CBOT_736	accessory
CBOT_176	accessory
CBOT_5131	accessory
CBOT_177	accessory
CBOT_5130	accessory
CBOT_4414	accessory
CBOT_746	accessory
CBOT_748	accessory
CBOT_432	accessory
CBOT_5021	accessory
CBOT_2727	accessory
CBOT_5020	accessory
CBOT_2728	accessory
CBOT_7262	accessory
CBOT_6286	accessory
CBOT_2748	accessory
CBOT_2747	accessory
CBOT_2746	accessory
CBOT_2745	accessory
CBOT_2744	accessory
CBOT_2743	accessory
CBOT_2742	accessory
CBOT_2741	accessory
CBOT_10474	accessory
CBOT_658	accessory
CBOT_1969	accessory
CBOT_6107	accessory
CBOT_1971	accessory
CBOT_1747	accessory
CBOT_5692	accessory
CBOT_5352	accessory
CBOT_4615	accessory
CBOT_3310	accessory
CBOT_1315	accessory
CBOT_3305	accessory
CBOT_1325	accessory
CBOT_3341	accessory
CBOT_1237	accessory
CBOT_1845	accessory
CBOT_1860	accessory
CBOT_2402	accessory
CBOT_2561	accessory
CBOT_2397	accessory
CBOT_1263	accessory
CBOT_1223	accessory
CBOT_2393	accessory
CBOT_2378	accessory
CBOT_2411	accessory
CBOT_2377	accessory
CBOT_2407	accessory
CBOT_2366	accessory
CBOT_2391	accessory
CBOT_2410	accessory
CBOT_2563	accessory
CBOT_2388	accessory
CBOT_2376	accessory
CBOT_2327	accessory
CBOT_2400	accessory
CBOT_1249	accessory
CBOT_120	accessory
CBOT_3296	accessory
CBOT_1336	accessory
CBOT_5088	accessory
CBOT_1268	accessory
CBOT_1827	accessory
CBOT_2414	accessory
CBOT_2415	accessory
CBOT_2375	accessory
CBOT_2379	accessory
CBOT_2040	accessory
CBOT_2422	accessory
CBOT_1274	accessory
CBOT_347	accessory
CBOT_2387	accessory
CBOT_2398	accessory
CBOT_1319	accessory
CBOT_1879	accessory
CBOT_2127	accessory
CBOT_4268	accessory
CBOT_4267	accessory
CBOT_4091	accessory
CBOT_2395	accessory
CBOT_4080	accessory
CBOT_2404	accessory
CBOT_2401	accessory
CBOT_1881	accessory
CBOT_2039	accessory
CBOT_1259	accessory
CBOT_4101	accessory
CBOT_2389	accessory
CBOT_2374	accessory
CBOT_2399	accessory
CBOT_2386	accessory
CBOT_2396	accessory
CBOT_2367	accessory
CBOT_2416	accessory
CBOT_2419	accessory
CBOT_2417	accessory
CBOT_5551	accessory
CBOT_2557	accessory
CBOT_2412	accessory
CBOT_2390	accessory
CBOT_2394	accessory
CBOT_2405	accessory
CBOT_2406	accessory
CBOT_2403	accessory
CBOT_2418	accessory
CBOT_10189	accessory
CBOT_442	accessory
CBOT_5525	accessory
CBOT_1324	accessory
CBOT_6144	accessory
CBOT_340	accessory
CBOT_1212	accessory
CBOT_5073	accessory
CBOT_1354	accessory
CBOT_5569	accessory
CBOT_2584	accessory
CBOT_6249	accessory
CBOT_3036	accessory
CBOT_1255	accessory
CBOT_2622	accessory
CBOT_2610	accessory
CBOT_2611	accessory
CBOT_2609	accessory
CBOT_2607	accessory
CBOT_2613	accessory
CBOT_2612	accessory
CBOT_3318	accessory
CBOT_1271	accessory
CBOT_1871	accessory
CBOT_446	accessory
CBOT_403	accessory
CBOT_5439	accessory
CBOT_3726	accessory
CBOT_2186	accessory
CBOT_701	accessory
CBOT_3302	accessory
CBOT_1328	accessory
CBOT_5530	accessory
CBOT_2503	accessory
CBOT_3344	accessory
CBOT_3357	accessory
CBOT_1216	accessory
CBOT_3326	accessory
CBOT_1261	accessory
CBOT_5638	accessory
CBOT_2236	accessory
CBOT_4090	accessory
CBOT_2901	accessory
CBOT_3351	accessory
CBOT_1225	accessory
CBOT_1751	accessory
CBOT_3365	accessory
CBOT_1754	accessory
CBOT_3363	accessory
CBOT_1755	accessory
CBOT_1809	accessory
CBOT_1752	accessory
CBOT_3366	accessory
CBOT_337	accessory
CBOT_2883	accessory
CBOT_667	accessory
CBOT_8956	accessory
CBOT_1537	accessory
CBOT_10524	accessory
CBOT_4388	accessory
CBOT_10525	accessory
CBOT_4389	accessory
CBOT_1573	accessory
CBOT_10518	accessory
CBOT_8942	accessory
CBOT_7843	accessory
CBOT_5270	accessory
CBOT_7841	accessory
CBOT_5446	accessory
CBOT_5274	accessory
CBOT_1569	accessory
CBOT_5272	accessory
CBOT_957	accessory
CBOT_8915	accessory
CBOT_7842	accessory
CBOT_5268	accessory
CBOT_9458	accessory
CBOT_8943	accessory
CBOT_7844	accessory
CBOT_5275	accessory
CBOT_5269	accessory
CBOT_2219	accessory
CBOT_1675	accessory
CBOT_1957	accessory
CBOT_2083	accessory
CBOT_2153	accessory
CBOT_5114	accessory
CBOT_4398	accessory
CBOT_3245	accessory
CBOT_7105	accessory
CBOT_5993	accessory
CBOT_4446	accessory
CBOT_772	accessory
CBOT_5877	accessory
CBOT_1623	accessory
CBOT_6588	accessory
CBOT_3309	accessory
CBOT_1316	accessory
CBOT_5404	accessory
CBOT_2651	accessory
CBOT_1214	accessory
CBOT_5534	accessory
CBOT_2173	accessory
CBOT_1979	accessory
CBOT_3571	accessory
CBOT_532	accessory
CBOT_6900	accessory
CBOT_3576	accessory
CBOT_2123	accessory
CBOT_289	accessory
CBOT_6140	accessory
CBOT_5124	accessory
CBOT_1256	accessory
CBOT_3348	accessory
CBOT_1228	accessory
CBOT_726	accessory
CBOT_5631	accessory
CBOT_1897	accessory
CBOT_3932	accessory
CBOT_2437	accessory
CBOT_5099	accessory
CBOT_1090	accessory
CBOT_3070	accessory
CBOT_522	accessory
CBOT_525	accessory
CBOT_6108	accessory
CBOT_1968	accessory
CBOT_2647	accessory
CBOT_1681	accessory
CBOT_447	accessory
CBOT_4481	accessory
CBOT_448	accessory
CBOT_4976	accessory
CBOT_1660	accessory
CBOT_2217	accessory
CBOT_611	accessory
CBOT_4619	accessory
CBOT_2149	accessory
CBOT_2155	accessory
CBOT_1245	accessory
CBOT_316	accessory
CBOT_4621	accessory
CBOT_2150	accessory
CBOT_4617	accessory
CBOT_2147	accessory
CBOT_4618	accessory
CBOT_2148	accessory
CBOT_4622	accessory
CBOT_2151	accessory
CBOT_2156	accessory
CBOT_2289	accessory
CBOT_5658	accessory
CBOT_5358	accessory
CBOT_2225	accessory
CBOT_12154	accessory
CBOT_5171	accessory
CBOT_3564	accessory
CBOT_2477	accessory
CBOT_6188	accessory
CBOT_1762	accessory
CBOT_6187	accessory
CBOT_1763	accessory
CBOT_1422	accessory
CBOT_6189	accessory
CBOT_1761	accessory
CBOT_1801	accessory
CBOT_1765	accessory
CBOT_6186	accessory
CBOT_1767	accessory
CBOT_6190	accessory
CBOT_1760	accessory
CBOT_6185	accessory
CBOT_1766	accessory
CBOT_1204	accessory
CBOT_2550	accessory
CBOT_755	accessory
CBOT_5009	accessory
CBOT_1706	accessory
CBOT_4291	accessory
CBOT_2359	accessory
CBOT_3359	accessory
CBOT_1206	accessory
CBOT_1841	accessory
CBOT_291	accessory
CBOT_2470	accessory
CBOT_1959	accessory
CBOT_1753	accessory
CBOT_1699	accessory
CBOT_2023	accessory
CBOT_2347	accessory
CBOT_4401	accessory
CBOT_3314	accessory
CBOT_131	accessory
CBOT_6866	accessory
CBOT_6266	accessory
CBOT_1352	accessory
CBOT_6564	accessory
CBOT_6267	accessory
CBOT_1351	accessory
CBOT_1350	accessory
CBOT_6867	accessory
CBOT_6269	accessory
CBOT_5106	accessory
CBOT_994	accessory
CBOT_101	accessory
CBOT_1575	accessory
CBOT_1290	accessory
CBOT_5607	accessory
CBOT_2468	accessory
CBOT_2474	accessory
CBOT_4266	accessory
CBOT_479	accessory
CBOT_4954	accessory
CBOT_2431	accessory
CBOT_2260	accessory
CBOT_3985	accessory
CBOT_5549	accessory
CBOT_2091	accessory
CBOT_5727	accessory
CBOT_5737	accessory
CBOT_5608	accessory
CBOT_380	accessory
CBOT_6069	accessory
CBOT_5983	accessory
CBOT_1849	accessory
CBOT_3298	accessory
CBOT_1334	accessory
CBOT_2244	accessory
CBOT_747	accessory
CBOT_391	accessory
CBOT_1309	accessory
CBOT_6511	accessory
CBOT_1296	accessory
CBOT_1308	accessory
CBOT_1302	accessory
CBOT_1299	accessory
CBOT_1283	accessory
CBOT_7597	accessory
CBOT_7062	accessory
CBOT_7061	accessory
CBOT_1307	accessory
CBOT_1300	accessory
CBOT_1281	accessory
CBOT_7599	accessory
CBOT_774	accessory
CBOT_2494	accessory
CBOT_1833	accessory
CBOT_6077	accessory
CBOT_2803	accessory
CBOT_6079	accessory
CBOT_2802	accessory
CBOT_73	accessory
CBOT_2801	accessory
CBOT_75	accessory
CBOT_3343	accessory
CBOT_1234	accessory
CBOT_7511	accessory
CBOT_1908	accessory
CBOT_4683	accessory
CBOT_1222	accessory
CBOT_378	accessory
CBOT_99	accessory
CBOT_1060	accessory
CBOT_3317	accessory
CBOT_1273	accessory
CBOT_5098	accessory
CBOT_1101	accessory
CBOT_6258	accessory
CBOT_1367	accessory
CBOT_6270	accessory
CBOT_1348	accessory
CBOT_1349	accessory
CBOT_6209	accessory
CBOT_5335	accessory
CBOT_4031	accessory
CBOT_4524	accessory
CBOT_2033	accessory
CBOT_2035	accessory
CBOT_1903	accessory
CBOT_3358	accessory
CBOT_1215	accessory
CBOT_5195	accessory
CBOT_1301	accessory
CBOT_2192	accessory
CBOT_4512	accessory
CBOT_2019	accessory
CBOT_4616	accessory
CBOT_2125	accessory
CBOT_895	accessory
CBOT_5149	accessory
CBOT_4343	accessory
CBOT_5359	accessory
CBOT_2290	accessory
CBOT_4908	accessory
CBOT_2129	accessory
CBOT_4273	accessory
CBOT_2692	accessory
CBOT_934	accessory
CBOT_2649	accessory
CBOT_935	accessory
CBOT_5870	accessory
CBOT_1756	accessory
CBOT_1118	accessory
CBOT_353	accessory
CBOT_8241	accessory
CBOT_355	accessory
CBOT_7455	accessory
CBOT_3202	accessory
CBOT_1021	accessory
CBOT_1020	accessory
CBOT_2065	accessory
CBOT_4503	accessory
CBOT_1993	accessory
CBOT_5450	accessory
CBOT_2926	accessory
CBOT_2184	accessory
CBOT_3579	accessory
CBOT_883	accessory
CBOT_713	accessory
CBOT_10194	accessory
CBOT_5732	accessory
CBOT_3501	accessory
CBOT_2228	accessory
CBOT_1776	accessory
CBOT_367	accessory
CBOT_6217	accessory
CBOT_132	accessory
CBOT_8580	accessory
CBOT_2666	accessory
CBOT_8579	accessory
CBOT_2667	accessory
CBOT_8578	accessory
CBOT_2668	accessory
CBOT_1295	accessory
CBOT_6786	accessory
CBOT_3107	accessory
CBOT_2582	accessory
CBOT_96	accessory
CBOT_603	accessory
CBOT_602	accessory
CBOT_2052	accessory
CBOT_2053	accessory
CBOT_2054	accessory
CBOT_2055	accessory
CBOT_4540	accessory
CBOT_2056	accessory
CBOT_5505	accessory
CBOT_501	accessory
CBOT_4059	accessory
CBOT_2420	accessory
CBOT_4457	accessory
CBOT_782	accessory
CBOT_1232	accessory
CBOT_761	accessory
CBOT_10498	accessory
CBOT_1477	accessory
CBOT_4893	accessory
CBOT_1478	accessory
CBOT_1474	accessory
CBOT_4892	accessory
CBOT_1476	accessory
CBOT_4889	accessory
CBOT_1470	accessory
CBOT_4891	accessory
CBOT_1475	accessory
CBOT_1471	accessory
CBOT_4890	accessory
CBOT_1472	accessory
CBOT_3053	accessory
CBOT_5097	accessory
CBOT_1112	accessory
CBOT_10642	accessory
CBOT_6099	accessory
CBOT_6262	accessory
CBOT_1357	accessory
CBOT_3420	accessory
CBOT_3253	accessory
CBOT_3195	accessory
CBOT_3185	accessory
CBOT_1673	accessory
CBOT_4282	accessory
CBOT_6540	accessory
CBOT_411	accessory
CBOT_410	accessory
CBOT_4077	accessory
CBOT_10569	accessory
CBOT_298	accessory
CBOT_11860	accessory
CBOT_2900	accessory
CBOT_94	accessory
CBOT_710	accessory
CBOT_3205	accessory
CBOT_277	accessory
CBOT_6421	accessory
CBOT_642	accessory
CBOT_1409	accessory
CBOT_6244	accessory
CBOT_3721	accessory
CBOT_1619	accessory
CBOT_156	accessory
CBOT_2934	accessory
CBOT_2936	accessory
CBOT_2935	accessory
CBOT_9965	accessory
CBOT_3600	accessory
CBOT_3603	accessory
CBOT_6076	accessory
CBOT_5809	accessory
CBOT_1700	accessory
CBOT_10395	accessory
CBOT_5808	accessory
CBOT_1694	accessory
CBOT_5807	accessory
CBOT_5157	accessory
CBOT_1695	accessory
CBOT_6173	accessory
CBOT_2645	accessory
CBOT_5683	accessory
CBOT_1876	accessory
CBOT_8882	accessory
CBOT_413	accessory
CBOT_414	accessory
CBOT_8884	accessory
CBOT_415	accessory
CBOT_10512	accessory
CBOT_4509	accessory
CBOT_1997	accessory
CBOT_984	accessory
CBOT_2894	accessory
CBOT_4116	accessory
CBOT_6995	accessory
CBOT_3871	accessory
CBOT_3865	accessory
CBOT_687	accessory
CBOT_10538	accessory
CBOT_5081	accessory
CBOT_309	accessory
CBOT_5856	accessory
CBOT_2495	accessory
CBOT_5882	accessory
CBOT_1620	accessory
CBOT_4495	accessory
CBOT_425	accessory
CBOT_4496	accessory
CBOT_424	accessory
CBOT_3739	accessory
CBOT_2444	accessory
CBOT_3555	accessory
CBOT_2480	accessory
CBOT_5364	accessory
CBOT_2296	accessory
CBOT_2498	accessory
CBOT_607	accessory
CBOT_5621	accessory
CBOT_5535	accessory
CBOT_5442	accessory
CBOT_440	accessory
CBOT_228	accessory
CBOT_229	accessory
CBOT_465	accessory
CBOT_466	accessory
CBOT_3154	accessory
CBOT_1165	accessory
CBOT_821	accessory
CBOT_4087	accessory
CBOT_2794	accessory
CBOT_5666	accessory
CBOT_1893	accessory
CBOT_5665	accessory
CBOT_1894	accessory
CBOT_1896	accessory
CBOT_1888	accessory
CBOT_2855	accessory
CBOT_5671	accessory
CBOT_4500	accessory
CBOT_420	accessory
CBOT_426	accessory
CBOT_3128	accessory
CBOT_4493	accessory
CBOT_4499	accessory
CBOT_421	accessory
CBOT_1501	accessory
CBOT_1111	accessory
CBOT_5942	accessory
CBOT_1502	accessory
CBOT_1113	accessory
CBOT_5941	accessory
CBOT_841	accessory
CBOT_831	accessory
CBOT_839	accessory
CBOT_840	accessory
CBOT_455	accessory
CBOT_8887	accessory
CBOT_3212	accessory
CBOT_454	accessory
CBOT_5071	accessory
CBOT_3458	accessory
CBOT_3211	accessory
CBOT_452	accessory
CBOT_833	accessory
CBOT_6240	accessory
CBOT_837	accessory
CBOT_6241	accessory
CBOT_838	accessory
CBOT_1793	accessory
CBOT_149	accessory
CBOT_486	accessory
CBOT_5670	accessory
CBOT_1889	accessory
CBOT_1890	accessory
CBOT_5669	accessory
CBOT_1891	accessory
CBOT_3856	accessory
CBOT_688	accessory
CBOT_3864	accessory
CBOT_686	accessory
CBOT_3916	accessory
CBOT_90	accessory
CBOT_3495	accessory
CBOT_1758	accessory
CBOT_5672	accessory
CBOT_3607	accessory
CBOT_2469	accessory
CBOT_470	accessory
CBOT_51	accessory
CBOT_52	accessory
CBOT_468	accessory
CBOT_49	accessory
CBOT_6781	accessory
CBOT_684	accessory
CBOT_469	accessory
CBOT_50	accessory
CBOT_590	accessory
CBOT_2992	accessory
CBOT_4885	accessory
CBOT_588	accessory
CBOT_4939	accessory
CBOT_768	accessory
CBOT_2980	accessory
CBOT_1719	accessory
CBOT_8564	accessory
CBOT_2976	accessory
CBOT_652	accessory
CBOT_5624	accessory
CBOT_2315	accessory
CBOT_2643	accessory
CBOT_2508	accessory
CBOT_2383	accessory
CBOT_4135	accessory
CBOT_3413	accessory
CBOT_5147	accessory
CBOT_4107	accessory
CBOT_2654	accessory
CBOT_6061	accessory
CBOT_3460	accessory
CBOT_5662	accessory
CBOT_1898	accessory
CBOT_5019	accessory
CBOT_82	accessory
CBOT_10440	accessory
CBOT_2447	accessory
CBOT_1539	accessory
CBOT_2253	accessory
CBOT_606	accessory
CBOT_5311	accessory
CBOT_2252	accessory
CBOT_7698	accessory
CBOT_4884	accessory
CBOT_2975	accessory
CBOT_445	accessory
CBOT_3092	accessory
CBOT_601	accessory
CBOT_2946	accessory
CBOT_2945	accessory
CBOT_5407	accessory
CBOT_2140	accessory
CBOT_2555	accessory
CBOT_2139	accessory
CBOT_4914	accessory
CBOT_8043	accessory
CBOT_2712	accessory
CBOT_10262	accessory
CBOT_3106	accessory
CBOT_1687	accessory
CBOT_5461	accessory
CBOT_2183	accessory
CBOT_3566	accessory
CBOT_3124	accessory
